Award ID,Award Title,Award Status,Activation/Begin Date,Proposal ID,PI Name,Responsible Dept ID,Responsible Dept Name,Funding Source,CFDA Num,Sponsor,Flow-Thru Sponsor,Project Number,Funding Dept ID,Fund Code,Distribution Dept Name,Dept %,Awarded Direct,Awarded Indirect,Awarded Total,Co-PI Name List,Distribution College,Distribution Dept ID,End Date
0000013368,From Quarks to the Cosmos,Active,2007-03-15,0000013368,"Piekarewicz,Jorge",084009,Physics Sponsored Projects,Federal,81.049,U. S. Department of Energy,-,038154,084009,520,Physics Sponsored Projects,100,508477,204211,712688,,College of Arts & Sciences,084009,2023-11-15 00:00:00
0000013368,From Quarks to the Cosmos,Active,2007-03-15,0000013368,"Piekarewicz,Jorge",084009,Physics Sponsored Projects,Federal,81.049,U. S. Department of Energy,-,100486,084009,520,Physics Sponsored Projects,100,290309,198003,488312,,College of Arts & Sciences,084009,2023-11-15 00:00:00
0000013404,Educational Research Agreement by and between Helmholtz-Zentrum Berlin (HZB) & FSUMRD,Active,2007-03-01,0000013404,"Bird,Mark D",227000,Natl High Magnetic Field Lab,Other,-,FSU Magnet Rsch & Dev Inc,-,021259,227000,546,Natl High Magnetic Field Lab,100,7824191,0,7824191,,VP Research,227000,2023-12-31 00:00:00
0000014511,Infrared Optical Study of Graphene in High Magnetic Fields,Active,2007-08-15,0000014511,"Smirnov,Dmitry",227000,Natl High Magnetic Field Lab,Federal,81.049,U. S. Department of Energy,-,022410,227000,520,Natl High Magnetic Field Lab,100,2150881,591874,2742755,,VP Research,227000,2024-05-31 00:00:00
0000014656,Experimental Hadronic Nuclear Physics,Active,2007-11-01,0000014656,"Eugenio,Paul M",137000,Scientific Computing,Federal,81.049,U. S. Department of Energy,-,-,084009,520,Physics Sponsored Projects,100,2460393,546971,3007364,,College of Arts & Sciences,084009,2023-10-31 00:00:00
0000014656,Experimental Hadronic Nuclear Physics,Active,2007-11-01,0000014656,"Eugenio,Paul M",137000,Scientific Computing,Federal,81.049,U. S. Department of Energy,-,022557,137000,520,Physics Sponsored Projects,75,1700056.5,379692.75,2079749.25,"Crede, Volker",College of Arts & Sciences,084009,2023-10-31 00:00:00
0000014656,Experimental Hadronic Nuclear Physics,Active,2007-11-01,0000014656,"Eugenio,Paul M",137000,Scientific Computing,Federal,81.049,U. S. Department of Energy,-,022557,137000,520,Scientific Computing,25,566685.5,126564.25,693249.75,"Crede, Volker",College of Arts & Sciences,137000,2023-10-31 00:00:00
0000014656,Experimental Hadronic Nuclear Physics,Active,2007-11-01,0000014656,"Eugenio,Paul M",137000,Scientific Computing,Federal,81.049,U. S. Department of Energy,-,022557,137000,555,Physics Sponsored Projects,75,146854.5,0,146854.5,"Crede, Volker",College of Arts & Sciences,084009,2023-10-31 00:00:00
0000014656,Experimental Hadronic Nuclear Physics,Active,2007-11-01,0000014656,"Eugenio,Paul M",137000,Scientific Computing,Federal,81.049,U. S. Department of Energy,-,022557,137000,555,Scientific Computing,25,48951.5,0,48951.5,"Crede, Volker",College of Arts & Sciences,137000,2023-10-31 00:00:00
0000014656,Experimental Hadronic Nuclear Physics,Active,2007-11-01,0000014656,"Eugenio,Paul M",137000,Scientific Computing,Federal,81.049,U. S. Department of Energy,-,039377,084009,555,Physics Sponsored Projects,100,349797,0,349797,"Crede, Volker",College of Arts & Sciences,084009,2023-10-31 00:00:00
0000014656,Experimental Hadronic Nuclear Physics,Active,2007-11-01,0000014656,"Eugenio,Paul M",137000,Scientific Computing,Federal,81.049,U. S. Department of Energy,-,100988,084009,520,Physics Sponsored Projects,100,16798,4367,21165,"Crede, Volker",College of Arts & Sciences,084009,2023-10-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,023112,118000,530,"RMI, REE & Legal Studies",100,5740970,572207,6313177,,College of Business,118000,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,025091,166000,530,Geography,100,110602,11060,121662,,College of Soc Sci & Pub Pol,166000,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,025093,139000,530,Info Use Mgmt & Policy Inst,100,327708,30830,358538,,College of Comm & Information,139000,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,025094,162001,530,FL Public Affairs Ctr Auxil,100,90280,9028,99308,"Heffron-Casserleigh, Audrey",College of Soc Sci & Pub Pol,162001,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,025617,087005,530,Meteorology Sponsored Projects,100,50114,4368,54482,"Fuelberg, Henry; Reasor, Paul",College of Arts & Sciences,087005,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,025673,087005,530,Meteorology Sponsored Projects,100,49764,4306,54070,,College of Arts & Sciences,087005,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,025674,087005,530,Meteorology Sponsored Projects,100,50098,4366,54464,,College of Arts & Sciences,087005,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,026665,087005,530,Meteorology Sponsored Projects,100,46000,4600,50600,,College of Arts & Sciences,087005,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,027528,215000,530,Civil & Environmental Engineer,100,45724,3856,49580,,College of Engineering,215000,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,027697,059000,530,Ctr Ocean Atmos Prediction Stu,34,142335.56,14126.32,156461.88,"Dukhovskoy, Dmitry; Morey, Steven; Powell, Mark",College of Arts & Sciences,059000,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,027697,059000,530,Meteorology Sponsored Projects,33,138149.22,13710.84,151860.06,"Dukhovskoy, Dmitry; Morey, Steven; Powell, Mark",College of Arts & Sciences,087005,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,027697,059000,530,Oceanog Sponsored Projects,33,138149.22,13710.84,151860.06,"Dukhovskoy, Dmitry; Morey, Steven; Powell, Mark",College of Arts & Sciences,091004,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,028161,087005,530,Meteorology Sponsored Projects,100,21700,1985,23685,,College of Arts & Sciences,087005,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,028162,087005,530,Meteorology Sponsored Projects,100,22090,2154,24244,,College of Arts & Sciences,087005,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,028607,069100,530,EOAS/Meteorology Sponsor Prog,100,18803,1880,20683,,College of Arts & Sciences,069100,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,028608,166000,530,Geography,85,46363.25,4636.75,51000,,College of Soc Sci & Pub Pol,166000,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,028608,166000,530,Survey Research Lab Auxiliary,15,8181.75,818.25,9000,,College of Soc Sci & Pub Pol,161009,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,030077,118000,530,"RMI, REE & Legal Studies",100,95041,1004,96045,,College of Business,118000,2020-12-31 00:00:00
0000015199,Florida Catastrophic Storm Risk Management,Active,2007-09-01,0000015199,"Nicholson,Jack Eugene",118000,"RMI, REE & Legal Studies",State,-,Florida Department of Financia,-,031176,118000,530,"RMI, REE & Legal Studies",100,112664,11266,123930,,College of Business,118000,2020-12-31 00:00:00
0000016492,"Phase III Commercialization Assistance Grant (Bucky Paper, Inc)",Active,2008-05-02,0000016492,"Edington,Brent V",221000,Office of Commercialization,State,-,Florida Board of Governors,-,024448,221000,530,Office of Commercialization,100,238383,11617,250000,"Ray, Gustav",VP Research,221000,2020-06-30 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,024809,218000,531,Mechanical Engineering,100,12580,0,12580,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,024809,218007,530,FL Ctr for Adv Aero-propulsion,100,1610036,0,1610036,,College of Engineering,218007,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,024809,283000,531,FL CTR for ADV Aero-propulsion,100,4746245,0,4746245,,College of Engineering,283000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025271,152000,530,Ctr for Econ Forecast & Anly,100,69987,0,69987,"Bowermeister, Thomas; Helzer, Scott",Provost & VP Academic Affairs,152000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025334,218000,530,Mechanical Engineering,100,27580,0,27580,"Oates, William",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025334,218000,531,Mechanical Engineering,100,69223,0,69223,"Oates, William",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025376,218000,530,Mechanical Engineering,100,69081,0,69081,"Krothapalli, Anjaneyulu",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025376,218000,531,Mechanical Engineering,100,10007,0,10007,"Krothapalli, Anjaneyulu",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025377,227000,530,Mechanical Engineering,50,31073.5,0,31073.5,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025377,227000,530,Natl High Magnetic Field Lab,50,31073.5,0,31073.5,,VP Research,227000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025377,227000,531,Mechanical Engineering,50,33926.5,0,33926.5,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025377,227000,531,Natl High Magnetic Field Lab,50,33926.5,0,33926.5,,VP Research,227000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025473,218000,530,Mechanical Engineering,100,37276,0,37276,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025473,218000,531,Mechanical Engineering,100,49382,0,49382,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025474,218000,530,Mechanical Engineering,100,4574,0,4574,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025474,218000,531,Mechanical Engineering,100,19466,0,19466,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025475,137000,530,Natl High Magnetic Field Lab,50,15655.5,0,15655.5,,VP Research,227000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025475,137000,530,Scientific Computing,50,15655.5,0,15655.5,,College of Arts & Sciences,137000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025475,137000,531,Natl High Magnetic Field Lab,50,22844.5,0,22844.5,,VP Research,227000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025475,137000,531,Scientific Computing,50,22844.5,0,22844.5,,College of Arts & Sciences,137000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025477,081003,530,Mathematics Sponsored Projects,100,68112,0,68112,,College of Arts & Sciences,081003,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025477,081003,531,Mathematics Sponsored Projects,100,60238,0,60238,,College of Arts & Sciences,081003,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025478,218000,530,Mechanical Engineering,100,74263,0,74263,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025478,218000,531,Mechanical Engineering,100,27794,0,27794,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025479,218000,530,Mechanical Engineering,100,99121,0,99121,"Collins, Emmanuel",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025479,218000,531,Mechanical Engineering,100,66377,0,66377,"Collins, Emmanuel",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025480,218000,530,Mechanical Engineering,100,34649,0,34649,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025480,218000,531,Mechanical Engineering,100,97562,0,97562,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025481,081003,530,Ctr for Advanced Power Systems,50,6955.5,0,6955.5,"Poroseva, Svetlana",VP Research,225000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025481,081003,530,Mathematics Sponsored Projects,50,6955.5,0,6955.5,"Poroseva, Svetlana",College of Arts & Sciences,081003,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025481,081003,531,Ctr for Advanced Power Systems,50,28044.5,0,28044.5,"Poroseva, Svetlana",VP Research,225000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025481,081003,531,Mathematics Sponsored Projects,50,28044.5,0,28044.5,"Poroseva, Svetlana",College of Arts & Sciences,081003,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025724,218000,530,Chemical Engineering,50,13360,0,13360,"Oates, William; Paravastu, Anant",College of Engineering,214000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025724,218000,530,Mechanical Engineering,50,13360,0,13360,"Oates, William; Paravastu, Anant",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025724,218000,531,Chemical Engineering,50,27192,0,27192,"Oates, William; Paravastu, Anant",College of Engineering,214000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,025724,218000,531,Mechanical Engineering,50,27192,0,27192,"Oates, William; Paravastu, Anant",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,026194,218000,531,Mechanical Engineering,100,449629,0,449629,"Kumar, Rajan",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,026195,218000,531,Mechanical Engineering,100,46700,0,46700,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,026409,218000,531,Mechanical Engineering,100,134055,0,134055,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,026466,218000,531,Mechanical Engineering,100,83050,0,83050,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,027705,218000,531,Mechanical Engineering,100,80796,0,80796,"Alvi, Farrukh",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,027706,218000,531,Mechanical Engineering,100,297557,0,297557,"Alvi, Farrukh",College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,027707,218000,531,Mechanical Engineering,100,277741,0,277741,,College of Engineering,218000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,027707,283000,531,FL CTR for ADV Aero-propulsion,100,238327,0,238327,,College of Engineering,283000,2024-12-31 00:00:00
0000016827,The Florida Center for Advanced Aero-Propulsion,Active,2008-07-01,0000016827,"Kumar,Rajan",283000,FL CTR for ADV Aero-propulsion,State,-,Florida Legislature,-,027807,124000,531,Edu Psychology & Learning Sys,50,19581,0,19581,"Alvi, Farrukh",College of Education,126000,2024-12-31 00:00:00
